match_id,home_team,away_team,home_goals,away_goals,match_outcome,Home_Ball_Possession,Home_Pass_Accuracy,Home_Total_Shots,Home_Expected_Goals,Away_Ball_Possession,Away_Pass_Accuracy,Away_Total_Shots,Away_Expected_Goals
1035343,West Ham,Wolves,3,0,Win,,,,,,,,
1035336,Brentford,Aston Villa,1,2,Loss,,,,,,,,
1035339,Liverpool,Manchester United,0,0,Draw,,,,,,,,
1035345,Crystal Palace,Brighton,1,1,Draw,,,,,,,,
1035344,Aston Villa,Sheffield Utd,1,1,Draw,,,,,,,,
1035352,West Ham,Manchester United,2,0,Win,,,,,,,,
1035346,Fulham,Burnley,0,2,Loss,,,,,,,,
1035351,Tottenham,Everton,2,1,Win,,,,,,,,
1035350,Nottingham Forest,Bournemouth,2,3,Loss,,,,,,,,
1035348,Luton,Newcastle,1,0,Win,,,,,,,,
1035347,Liverpool,Arsenal,1,1,Draw,,,,,,,,
1035353,Wolves,Chelsea,2,1,Win,,,,,,,,
1035362,Newcastle,Nottingham Forest,1,3,Loss,,,,,,,,
1035354,Bournemouth,Fulham,3,0,Win,,,,,,,,
1035363,Sheffield Utd,Luton,2,3,Loss,,,,,,,,
1035358,Burnley,Liverpool,0,2,Loss,,,,,,,,
1035361,Manchester United,Aston Villa,3,2,Win,,,,,,,,
1035359,Chelsea,Crystal Palace,2,1,Win,,,,,,,,
1035356,Brentford,Wolves,1,4,Loss,,,,,,,,
1035360,Everton,Manchester City,1,3,Loss,,,,,,,,
1035357,Brighton,Tottenham,4,2,Win,,,,,,,,
1035355,Arsenal,West Ham,0,2,Loss,,,,,,,,
1035368,Luton,Chelsea,2,3,Loss,,,,,,,,
1035373,Wolves,Everton,3,0,Win,,,,,,,,
1035369,Manchester City,Sheffield Utd,2,0,Win,,,,,,,,
1035365,Crystal Palace,Brentford,3,1,Win,,,,,,,,
1035364,Aston Villa,Burnley,3,2,Win,,,,,,,,
1035370,Nottingham Forest,Manchester United,2,1,Win,,,,,,,,
1035366,Fulham,Arsenal,2,1,Win,,,,,,,,
1035371,Tottenham,Bournemouth,3,1,Win,,,,,,,,
1035367,Liverpool,Newcastle,4,2,Win,,,,,,,,
1035372,West Ham,Brighton,0,0,Draw,,,,,,,,
1035378,Burnley,Luton,1,1,Draw,,,,,,,,
1035379,Chelsea,Fulham,1,0,Win,,,,,,,,
1035382,Newcastle,Manchester City,2,3,Loss,,,,,,,,
1035380,Everton,Aston Villa,0,0,Draw,,,,,,,,
1035381,Manchester United,Tottenham,2,2,Draw,,,,,,,,
1035375,Arsenal,Crystal Palace,5,0,Win,,,,,,,,
1035376,Brentford,Nottingham Forest,3,2,Win,,,,,,,,
1035383,Sheffield Utd,West Ham,2,2,Draw,,,,,,,,
1035374,Bournemouth,Liverpool,0,4,Loss,,,,,,,,
1035377,Brighton,Wolves,0,0,Draw,,,,,,,,
1035387,Nottingham Forest,Arsenal,1,2,Loss,,,,,,,,
1035385,Fulham,Everton,0,0,Draw,,,,,,,,
1035386,Luton,Brighton,4,0,Win,,,,,,,,
1035391,Crystal Palace,Sheffield Utd,3,2,Win,,,,,,,,
1035384,Aston Villa,Newcastle,1,3,Loss,,,,,,,,
1035388,Tottenham,Brentford,3,2,Win,,,,,,,,
1035393,Manchester City,Burnley,3,1,Win,,,,,,,,
1035392,Liverpool,Chelsea,4,1,Win,,,,,,,,
1035389,West Ham,Bournemouth,1,1,Draw,,,,,,,,
1035390,Wolves,Manchester United,3,4,Loss,,,,,,,,
1035400,Everton,Tottenham,2,2,Draw,,,,,,,,
1035402,Newcastle,Luton,4,4,Draw,,,,,,,,
1035398,Burnley,Fulham,2,2,Draw,,,,,,,,
1035397,Brighton,Crystal Palace,4,1,Win,,,,,,,,
1035403,Sheffield Utd,Aston Villa,0,5,Loss,,,,,,,,
1035401,Manchester United,West Ham,3,0,Win,,,,,,,,
1035394,Bournemouth,Nottingham Forest,1,1,Draw,,,,,,,,
1035399,Chelsea,Wolves,2,4,Loss,,,,,,,,
1035395,Arsenal,Liverpool,3,1,Win,,,,,,,,
1035396,Brentford,Manchester City,1,3,Loss,,,,,,,,
1035409,Manchester City,Everton,2,0,Win,,,,,,,,
1035406,Fulham,Bournemouth,3,1,Win,,,,,,,,
1035413,Wolves,Brentford,0,2,Loss,,,,,,,,
1035407,Liverpool,Burnley,3,1,Win,,,,,,,,
1035411,Tottenham,Brighton,2,1,Win,,,,,,,,
1035408,Luton,Sheffield Utd,1,3,Loss,,,,,,,,
1035410,Nottingham Forest,Newcastle,2,3,Loss,,,,,,,,
1035412,West Ham,Arsenal,0,6,Loss,,,,,,,,
1035404,Aston Villa,Manchester United,1,2,Loss,,,,,,,,
1035405,Crystal Palace,Chelsea,1,3,Loss,,,,,,,,
1035414,Brentford,Liverpool,1,4,Loss,,,,,,,,
1035420,Newcastle,Bournemouth,2,2,Draw,,,,,,,,
1035417,Fulham,Aston Villa,1,2,Loss,,,,,,,,
1035415,Burnley,Arsenal,0,5,Loss,,,,,,,,
1035423,Tottenham,Wolves,1,2,Loss,,,,,,,,
1035421,Nottingham Forest,West Ham,2,0,Win,,,,,,,,
1035419,Manchester City,Chelsea,1,1,Draw,,,,,,,,
1035422,Sheffield Utd,Brighton,0,5,Loss,,,,,,,,
1035418,Luton,Manchester United,1,2,Loss,,,,,,,,
1035416,Everton,Crystal Palace,1,1,Draw,,,,,,,,
1035349,Manchester City,Brentford,1,0,Win,,,,,,,,
1035430,Liverpool,Luton,4,1,Win,,,,,,,,
1035431,Manchester United,Fulham,1,2,Loss,,,,,,,,
1035427,Brighton,Everton,1,1,Draw,,,,,,,,
1035429,Crystal Palace,Burnley,3,0,Win,,,,,,,,
1035426,Aston Villa,Nottingham Forest,4,2,Win,,,,,,,,
1035424,Bournemouth,Manchester City,0,1,Loss,,,,,,,,
1035425,Arsenal,Newcastle,4,1,Win,,,,,,,,
1035433,Wolves,Sheffield Utd,1,0,Win,,,,,,,,
1035432,West Ham,Brentford,4,2,Win,,,,,,,,
1035440,Newcastle,Wolves,3,0,Win,,,,,,,,
1035437,Fulham,Brighton,3,0,Win,,,,,,,,
1035436,Everton,West Ham,1,3,Loss,,,,,,,,
1035443,Tottenham,Crystal Palace,3,1,Win,,,,,,,,
1035434,Brentford,Chelsea,2,2,Draw,,,,,,,,
1035441,Nottingham Forest,Liverpool,0,1,Loss,,,,,,,,
1035438,Luton,Aston Villa,2,3,Loss,,,,,,,,
1035435,Burnley,Bournemouth,0,2,Loss,,,,,,,,
1035439,Manchester City,Manchester United,3,1,Win,,,,,,,,
1035442,Sheffield Utd,Arsenal,0,6,Loss,,,,,,,,
1035451,Manchester United,Everton,2,0,Win,,,,,,,,
1035444,Bournemouth,Sheffield Utd,2,2,Draw,,,,,,,,
1035453,Wolves,Fulham,2,1,Win,,,,,,,,
1035449,Crystal Palace,Luton,1,1,Draw,,,,,,,,
1035445,Arsenal,Brentford,2,1,Win,,,,,,,,
